0,1,0.48
0,2,0.31
0,3,0.38
0,4,0.31
1,1,0.17
1,3,0.22
2,0,0.38
2,1,0.54
2,2,0.20
2,3,0.30
3,1,0.47
3,2,0.30
3,3,0.05
3,4,0.45
4,0,0.53
4,2,0.27
4,3,0.49
4,4,0.08
5,0,0.25
5,2,0.54
5,3,0.16
6,0,0.55
6,1,0.23
6,4,0.44
7,1,0.28
7,2,0.21
7,3,0.50
8,1,0.59
8,2,0.29
8,4,0.54
9,0,0.10
9,1,0.40
9,2,0.56
9,3,0.25
10,0,0.49
10,3,0.42
11,2,0.40
11,3,0.06
12,0,0.05
12,1,0.22
12,4,0.45
13,0,0.40
13,1,0.31
13,3,0.44
15,2,0.21
15,3,0.08
16,0,0.53
16,1,0.45
16,3,0.52
17,0,0.26
17,1,0.09
17,2,0.12
17,3,0.54
17,4,0.16
18,0,0.55
18,1,0.56
18,3,0.22
18,4,0.28
19,0,0.46
19,1,0.50
19,2,0.31
19,3,0.31
19,4,0.03
20,0,0.39
20,1,0.14
20,3,0.12
20,4,0.10
21,0,0.52
21,2,0.17
22,1,0.51
22,2,0.56
22,3,0.34
22,4,0.24
23,0,0.41
23,3,0.42
23,4,0.34
24,0,0.16
24,1,0.17
24,2,0.10
24,3,0.12
24,4,0.12
25,2,0.29
25,3,0.10
25,4,0.35
26,3,0.27
26,4,0.31
27,1,0.15
27,2,0.09
27,4,0.22
28,1,0.12
28,2,0.52
28,3,0.26
28,4,0.07
29,0,0.08
29,1,0.46
29,4,0.09
30,0,0.05
30,2,0.06
30,3,0.12
30,4,0.12
31,0,0.14
31,1,0.22
31,2,0.08
31,3,0.06
31,4,0.50
32,2,0.23
32,3,0.16
33,0,0.08
33,2,0.29
33,3,0.01
34,1,0.01
34,2,0.49
34,3,0.20
35,0,0.42
35,1,0.09
35,3,0.09
36,0,0.34
36,1,0.35
36,3,0.26
37,1,0.01
37,2,0.02
38,0,0.15
38,2,0.37
38,3,0.55
38,4,0.34
39,3,0.58
39,4,0.30
40,0,0.03
40,1,0.32
40,3,0.18
40,4,0.15
41,0,0.06
41,2,0.35
41,3,0.39
